estado,id,oracion
negativo,1119,el bigdata permite hacer psicometría en grado extremo .
positivo,1120,el bigdata posee una gran cantidad de cámaras y de sensores que son capaces de tomar y analizar diversos tipos de información .
positivo,1121,"el bigdata relucía en las portadas , una herramienta que ayudaría a conservar la salud de la gente mejor que los epidemiólogos ."
positivo,1122,"el bigdata se aleja de la superficialidad de quienes creían que el éxito de la página sería algo pasajero , o incluso los que se aventuraron a decir que se aproximaba el fin de la red_social con una retorcida fórmula matemática ."
positivo,1124,el bigdata se basa en sistemas informáticos que tienen como objetivo almacenar grandes cantidades de información en bases de datos para luego identificar comportamientos .
positivo,1125,"el bigdata se complementa con el ' cloud computing ' o ' computación en la nube ' , el conjunto de recursos informáticos compartidos , como redes , servidores , programas , sistemas de almacenamiento , aplicaciones y servicios , alojados en un servidor conectado a la red , y que son accesibles desde una conexión a internet , sin necesidad de instalar software ejecutable ni almacenar la información generada en el disco duro de la computadora de sus usuarios ."
positivo,1126,"el bigdata se emplea para realizar investigaciones , tomar precauciones en ciberseguridad , gestionar recursos en las ciudades o para hacer propuestas de marketing ."
positivo,1127,"el bigdata se utiliza con la idea de analizar impacto , alcance , temáticas derivadas y varios indicadores que le permitan a las organizaciones conocer en profundidad a su audiencia ' , señaló giménez ."
positivo,1128,"el bigdata también fue clave para que el francés emmanuel macron construyera su propia fuerza , en marche! , y en poco más de un año se convierta en el más joven ocupante del elíseo ."
positivo,1129,"el bigdata también puede aplicar a otros deportes como el básquet , la fórmula 1 y el tenis , aunque su implementación aún está en su etapa inicial ."
positivo,1130,el bigdata también se hace arte : en la fundación telefónica se está presentando una muestra con el nombre de big bang data donde el concepto de la generación y manipulación de grandes cantidades de información pasa de abstracto a concreto .
positivo,1131,"el bigdata también se impuso en las tribunas , porque este año en el crandon park - sede del miami open - se vieron por primera vez pantallas led gigantes con números de los partidos en tiempo real , desde la velocidad del saque hasta el porcentaje de efectividad de los golpes ."
positivo,1132,el bigdata tiene ventajas en todas las áreas de actividad y sectores .
positivo,1133,el bigdata va a ser una de las herramientas que transformará nuestras ciudades .
positivo,1134,el bigdata y la analítica y el análisis predictivo están tomando un rol muy importante al momento de definir un buen mix .
negativo,1135,"el bigdata y quienes van a manejar toda la información a nivel global se va perfilando entre estas empresas , cuyos planes de pasar a ser distribuidores de internet ( además de sus contenidos ) no parecen ser controlados por las leyes antimonopolio ."
positivo,1136,el boom de bigdata se refiere a la masiva disponibilidad de información generada por internet y otros mecanismos electrónicos de interacción social .
positivo,1137,"el cambio cultural , se da que en la actualidad con las nuevas herramientas de bigdata , las organizaciones ahora también son capaces de trabajar con datos desestructurados ."
positivo,1138,el campo se está aproximando al bigdata de tal forma que los agricultores están ampliando el uso de sensores .
positivo,1147,el científico de datos es un claro ejemplo de una profesión nacida a la luz del auge del bigdata .
