Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Hueso L.C.","55824357300;","Riesgos e impactos del big data, la inteligencia artificial y la robótica. enfoques, modelos y principios de la respuesta del derecho",2019,"Revista General de Derecho Administrativo","2019","50", 421227,"","",,20,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068606810&partnerID=40&md5=e0503f935f395949b76120df9d2d1322","Universidad Católica de Colombia, Colombia; Universitat de Valencia, Spain","Hueso, L.C., Universidad Católica de Colombia, Colombia, Universitat de Valencia, Spain","The study approaches the concepts of algorithms, artificial intelligence, self-learning systems), deep learning and neural networks, intelligent robotics and big data as ""food"" of artificial intelligence. Then, the different risks, dangers and impacts are explained. First, the existential risks to humanity for a ""strong artificial intelligence"", ""explosive"" or out of control. The errors and massive discriminations and artificial stupidity are alerted. They are also followed the most important references in the literature about the dangers of these new technologies: the ""algocracy"", dictatorship or fundamentalism of the data, ""dataism"" or ""psychopolitics"" and the ""swarm"". Based on the above, regulatory approaches, models and principles are examined. The author affirms the need to take control and to regulate from the varied typology of risks. The time factor or the rhythm of the regulation is stressed. In this sense, it is valued the introduction of techniques of a liquid or biodegradable law, experimental in continuous beta, as well as the ""sandboxes"" techniques. Despite the criticisms about it, it is stated that we must move towards this innovation in the form of regulation. The necessary participation of the technology sector, computer specialists and specialists is also analyzed. However, the dangers due to lack of legitimacy, capture and algorithmic manipulation of the regulator are warned. It is also taken into account the need to adopt techniques related to the principles of precaution and responsibility. Finally, the first regulations in the subject of study are described, as well as judgments and resolutions. © 2019 Revista General de Derecho Administrativo. All rights reserved.","Algorithms; Artificial intelligence; Big data; Fundamental rights; Law; Robotics",,"Hueso, L.C.; Universidad Católica de ColombiaColombia",,"Iustel",16969650,,,,"Spanish","Rev. Gen. Derecho Adm.",Article,"Final","",Scopus,2-s2.0-85068606810
"Lozano Zahonero M., Palmerini M.","57214601078;57202573877;","Approximation to the study of retronymy in Spanish: Theoretical principles and computational analysis of Big Data [Aproximación al estudio de la retronimia en español: Principios teóricos y análisis computacional de datos masivos]",2019,"Orillas",,"8",,"695","723",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078847261&partnerID=40&md5=909d81cf29024b19891acf26602b308a","Università degli Studi di Roma ""Tor Vergata"", Italy; Università degli Studi Roma Tre, Italy","Lozano Zahonero, M., Università degli Studi di Roma ""Tor Vergata"", Italy; Palmerini, M., Università degli Studi Roma Tre, Italy","The aim of this paper is to shed light on an almost unexplored lexicogenetic mechanism, namely retronymy, with the intention to contribute to its definition and analysis in a theoretical and applied linguistic framework, while focusing, at the same time, on the investigation of Spanish, for which no study specifically dedicated to this phenomenon is available. In a first approximation, we define retronymy as a relexicalization of an existing referent as a consequence of the appearance of a conceptual and formal neologism with which it maintains a semantic relation: i.e. the old guitar starts to be named acoustic guitar to contrast it with the more recent electric guitar. Retronymic creation, which we conceive as a complex net of semantic and formal relations and as a special case of lexical cycle, can be set within the general frame of lexical change in specialized contexts, and more precisely, in the so called induced neonimy. The analysis and the understanding of the linguistic principles that govern the retronyms’ formation constitutes, in our view, an interesting observatory on linguistic change and highlights the social and cultural implications of language and lexical evolution, which call for further dedicated investigations. Moreover, in our paper we present a first computational approach to the description of retronymy in Spanish, by diachronically exploring big data. This allow us to trace and visualize some characteristic retronymic profiles, thus permitting to test our theoretical proposals. Globally, this paper hopes to contribute to define a new research subject, both for Spanish and general linguistics. © 2019 Padova University Press. All rights reserved.","Diachronic big data analysis; Induced neonimy; Retronymic cycle; Retronymic net; Retronymy",,,,"Padova University Press",22804390,,,,"Spanish","Orillas",Article,"Final","",Scopus,2-s2.0-85078847261
"Acevedo M.E.S.","57210189803;","Hallenges involved by analysis of citizens 'data-the case of the big data colombian public policy-first in the region [Retos que involucra el análisis de los datos de los ciudadanos-el caso de la política pública de big data colombiana-primera en la región latinoamericana]",2019,"Revista General de Derecho Administrativo","2019","50", 421177,"","",,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069825566&partnerID=40&md5=e9c8a0fd26e7c5cc8d79568ae379e0f4","Grupo de Investigación Derecho Público y Tecnologías de la información y las Comunicaciones (TIC), Universidad Católica de Colombia, Colombia","Acevedo, M.E.S., Grupo de Investigación Derecho Público y Tecnologías de la información y las Comunicaciones (TIC), Universidad Católica de Colombia, Colombia","We are facing the great technological revolution of the 21st century and where data is the main protagonist, many of which are in the power of the administration, being these fundamental for the development of State processes and for the growth of the country. Colombia has not been unaware of these technological implications and has led in the Latin American region a public policy of exploitation of data and Big Data contained in the document Conpes 3920 of April 17, 2018 and which is aimed at the use of data, through the development of the conditions for them to be managed as assets that generate social and economic value, thus encouraging the process of accelerating and strengthening digitization, the opening of data and interoperability among public entities. In accordance with the above, this policy proposes the need for a legal and institutional framework that maximizes the benefits obtained from the use of data, from cooperation between the public and private sectors and the strengthening of the protection of the rights of citizens in the public sector. context of the growing transformation. Within this framework of development seeks to raise the necessary conditions for the effectiveness of the law, because its implementation generates challenges that are faced from: i) the mass of the availability of public data, accessible, usable and quality ; ii) the generation of legal security for the exploitation of data; iii) the availability of human capital prepared for it; iv) the generation of a data culture in the country; v) monitoring and control and financing.This communication intends to contribute to the academy, elements from the Latin American regional experience, particularly the Colombian, in terms of the analysis of the variables that prevent us from achieving a successful operation of public policy and the proposal of some guidelines that allow us to generate optimal conditions for the materialization of these public policies in the country. © 2019, Revista General de Derecho Administrativo. All rights reserved.","Artificial intelligence; Big Data; Transparency",,"Acevedo, M.E.S.; Grupo de Investigación Derecho Público y Tecnologías de la información y las Comunicaciones (TIC), Colombia; email: mesanchez@ucatolica.edu.co",,"Iustel",16969650,,,,"Spanish","Rev. Gen. Derecho Adm.",Article,"Final","",Scopus,2-s2.0-85069825566
"Ametller D.C.","57210193208;","The rulemaking process before technological advance and digital transformation (artificial intelligence, social networks and big data) [El proceso normativo ante el avance tecnológico y la transformación digital (inteligencia artificial, redes sociales y datos masivos)]",2019,"Revista General de Derecho Administrativo","2019","50", 421169,"","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069840174&partnerID=40&md5=5c8fb156dda3bc93e216a79f537c6501","Universidad de Girona, Spain","Ametller, D.C., Universidad de Girona, Spain","This article describes how technological advance and digital transformation can affect the Spanish regulatory process. Specifically this article analyses the use of artificial intelligence and social networks in the process of public participation, based on the experience of the notice-and-comment process of US federal agencies. Finally,it deals with the current importance of the exploration and processing of normative bigdata, both official and empirical, that is, those related to the effective compliance with legal regulation, in order to improve regulatory quality. © 2019 Revista General de Derecho Administrativo. All rights reserved.","Artificial intelligence; Better regulation; Big data; Legal compliance; Regulatory impact assessment; Rulemaking process; Social networks",,"Ametller, D.C.; Universidad de GironaSpain; email: dolors.canals@udg.edu",,"Iustel",16969650,,,,"Spanish","Rev. Gen. Derecho Adm.",Article,"Final","",Scopus,2-s2.0-85069840174
"Díaz D., Boj C.","36720554600;14630052800;","Artistic practices in the age of the datacene data biography: Digital traces to biographically explore personal identity [Prácticas artísticas en la época del dataceno Data Biography: Rastros digitales para la exploración biográfica de la identidad personal]",2019,"Artnodes","2019","24",,"121","133",,,"10.7238/a.v0i24.3293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074651851&doi=10.7238%2fa.v0i24.3293&partnerID=40&md5=093c75593e24fd75865ea1ac8637c885","Departamento de Ingeniería de Sistemas Industriales y Diseño, Universidad Jaume I, Castellóde la Plana, 12071, Spain; Departamento de Escultura, Universidad Politécnica de Valencia, Valencia, 46022, Spain","Díaz, D., Departamento de Ingeniería de Sistemas Industriales y Diseño, Universidad Jaume I, Castellóde la Plana, 12071, Spain; Boj, C., Departamento de Escultura, Universidad Politécnica de Valencia, Valencia, 46022, Spain","More and more details of our lives are recorded and stored as part of what has been called big data. Our lives, in all their aspects, leave a digital trail that is continually updated in terms of activities. Our physical and digital lives are recorded in databases with the latest book we purchased and with our medical visits. Many of these data are open and accessible, others are owned by private companies that use them for marketing purposes. In this publication, we provide an initial introduction and justification of the usefulness of the term datacene understood as a metaphor to comprehend our current society mediated by digital data. Then we establish a classification of the contemporary artistic practices with different approaches to the use and analysis of complex data; from the creation of aesthetically-pleasing visualizations of large volumes of data, to more conceptual approaches that critically analyze the volume, collection, use and marketing of data. In the last part of this publication we focus on artistic creations based on digital traces and the concept of narrative biography in the age of the datacene where we present our work Data Biography; a speculative design proposal that questions how we could write a current individual’s biography using the data captured from our digital trail on social networks, WhatsApp, emails, websites visited, Google searches, images, GPS location, and so forth. © Diego Díaz y Clara Boj and FUOC, 2019.","Big data; Data biography; Datacene; Digital trails; Media art",,,,"Universitat Oberta de Catalunya",16955951,,,,"Spanish","Artnodes",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85074651851
"Baroni M.J.L.","57210111088;","The narratives of artificial intelligence [Las narrativas de la inteligencia artificial]",2019,"Revista de Bioetica y Derecho",,"46",,"5","28",,1,"10.1344/rbd2019.0.27280","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069488626&doi=10.1344%2frbd2019.0.27280&partnerID=40&md5=862455910e30efefb3f6b3490c0fdb50","Universidad Pablo de Olavide, Sevilla, Spain","Baroni, M.J.L., Universidad Pablo de Olavide, Sevilla, Spain","The expression Artificial Intelligence designates meanings that are very different from each other, if not antagonistic. In this article we will examine some of these meanings, in particular, Artificial Intelligence as “trending topic”; as “big data”; as a “bias”, as a “socio-labor issue”; as an “entity without conscience”; as an “entity with conscience”; and, finally, as a “convergent discipline”. Each of these expressions shows us problems of different nature, some of which intersect with bioethics, hence the interest for our discipline. Legal regulations, dispersed and uncoordinated, sometimes even absent, reflects the inherent difficulties of not being able to specify exactly what we are facing. Copyright © 2019 Manuel Jesús López Baroni","Artificial intelligence; Artificial life; Autonomy; Bias; Big data; Conscience",,"Baroni, M.J.L.; Universidad Pablo de OlavideSpain; email: mjlopbar1@upo.es",,"Universitat de Barcelona, Observatorio de Bioetica y Derecho",18865887,,,,"Spanish","Rev. Bioetica Derecho",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85069488626
"Sánchez Sabaté R., Del Valle C., Mensa M.","57208339238;57211468972;55440184500;","Method for the construction of large thematic corpora of online news articles. Towards a corpus of food-related news [Método para la construcción de grandes corpus temáticos de noticias de prensa digital. Hacia un corpus sobre el hecho alimentario]",2019,"Revista Latina de Comunicacion Social","74",,,"594","617",,,"10.4185/RLCS-2019-1347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074062010&doi=10.4185%2fRLCS-2019-1347&partnerID=40&md5=3132c1d6c2fc3d59e59524ce2bad13a9","Universidad de La Frontera, Núcleo Científico Tecnológico en Ciencias Sociales y Humanidades, Centro de Excelencia en Psicología Económica y del Consumo (CEPEC), Temuco, Chile; Universidad de La Frontera, Núcleo Científico Tecnológico en Ciencias Sociales y Humanidades, Doctorado en Comunicación, Temuco, Chile; Instituto de Comunicación Social de la Universidad Austral de Chile, Núcleo de investigación sobre Estudios interdisciplinarios en torno a Desigualdad y Derechos Humanos, Valdivia, Chile","Sánchez Sabaté, R., Universidad de La Frontera, Núcleo Científico Tecnológico en Ciencias Sociales y Humanidades, Centro de Excelencia en Psicología Económica y del Consumo (CEPEC), Temuco, Chile; Del Valle, C., Universidad de La Frontera, Núcleo Científico Tecnológico en Ciencias Sociales y Humanidades, Doctorado en Comunicación, Temuco, Chile; Mensa, M., Instituto de Comunicación Social de la Universidad Austral de Chile, Núcleo de investigación sobre Estudios interdisciplinarios en torno a Desigualdad y Derechos Humanos, Valdivia, Chile","Introduction. Food-related news disseminated by the mass media have increased over the last two decades. These contents are powerful structuring elements of Western contemporary society. This article presents a method for the selection of a corpus of thousands of news published in the digital press -without having to resort to paid news databases-that can be subsequently processed with quantitative analysis software. Methods. Food-related content is operationalised through a series of keywords that allow for the retrieval of news on the subject in question using the Google search engine and the Import.io service. Results. More than 2500 news items published in 2016 by three Chilean newspapers were retrieved and stored for their subsequent analysis with big data techniques. Discussion and conclusions. The differences and similarities of the results obtained for each newspaper are discussed from different theoretical and methodological points of view. The different research possibilities offered by the data obtained are also mentioned. © 2019, University of La Laguna. All rights reserved.","Big Data; Digital press; Food and journalism; Methodology",,,,"University of La Laguna",11385820,,,,"Spanish","Rev. Lat. Comun. Soc.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85074062010
"Larrondo A., Morales I Gras J., Terradillos J.O.","56507340200;57212511634;57199685036;","Feminist hashtag activism in spain: Measuring the degree of politicisation of online discourse on #yosítecreo, #hermanayosítecreo, #cuéntalo y #noestássola [El hashtivismo feminista en España: grado de politización del movimiento en la conversación digital en torno a #yosítecreo, #hermanayosítecreo, #cuéntalo y #noestássola]",2019,"Communication and Society","32","4 Special Issue",,"207","221",,2,"10.15581/003.32.4.207-221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076880450&doi=10.15581%2f003.32.4.207-221&partnerID=40&md5=540b6de1c3c6cde0c587d6a50b752075","Universidad del País Vasco/ Euskal Herriko Unibertsitatea, Spain","Larrondo, A., Universidad del País Vasco/ Euskal Herriko Unibertsitatea, Spain; Morales I Gras, J., Universidad del País Vasco/ Euskal Herriko Unibertsitatea, Spain; Terradillos, J.O., Universidad del País Vasco/ Euskal Herriko Unibertsitatea, Spain","The use of Twitter as a tool for mobilisation has made digital social and political activism a growing area of interest in communication research. Scholars have underscored the effectiveness of Twitter in galvanising the opinion of broad sectors of the public and expressing the indignation of average citizens on issues of social concern (Bruns et al., 2015; Martínez, 2017). The rise of feminist social media activism has prompted a number of studies on the feminist movement’s use of hashtags to foster online conversations on specific issues (Jinsook, 2017; Turley & Fisher, 2018; etc.). This article examines the correlation between the degree of ideological commitment amongst social media users and the nature of their Twitter conversations on a given issue. The analysis focuses on Twitter conversations generated by feminists, influencers, journalists and politicians in reaction to the controversial sentencing of the Wolf Pack (La Manada) –a gang of men involved in a sexual assault perpetrated during the San Fermín festival in Pamplona. Big data techniques were used to explore the nature of messages containing four highly charged hashtags central to feminist discourse on this issue: #YoSiTeCreo (Yes, I believe you), #HermanaYoSíTeCreo (Yes, sister, I believe you), #Cuéntalo (Talk about it) and #NoEstásSola (You are not alone). Our findings indicate that the levels of ideological commitment of Twitter users participating in what was essentially a feminist conversation varied to an extent that impeded serious interaction amongst them, either online or offline. From the perspective of communication strategy, feminist hashtag activism would appear to be an intermediate step in a longer process of creating a higher consciousness regarding gender equality issues in Spain. © 2019 Communication & Society.","Big data; Digital conversation; Feminism; Hashtag activism; Politicisation; Twitter",,,,"Servicio de Publicaciones de la Universidad de Navarra",02140039,,,,"English; Spanish","Comun. Soc.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85076880450
"Ortigosa A.P.","57208717563;","Automated decision-making in the gdpr. algorithms in the scope of the data protection [Decisiones automatizadas en el rgpd. el uso de algoritmos en el contexto de la protección de datos]",2019,"Revista General de Derecho Administrativo","2019","50", 421173,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069878401&partnerID=40&md5=4a6a0bdcff6fd8546dc92984e553c6c3","Universidad de Valencia, Spain","Ortigosa, A.P., Universidad de Valencia, Spain","In this paper is realized an interpretation about Art.22 GDPR. In our opinion, in addition to recognizing a right not to be subject to a decision based solely on automated processing, this article also defines and regulates a specific processing of personal data. Specifically, this precept defines the use of machines by organizations in making decisions about individuals without human intervention. Along with the analysis of this processing, the different legitimates basis and rights of the data subject are studied. Our main objective is to clarify a precept that is currently one of the few that provides a series of legal safeguards in benefit of those who are subject to decisions taken by a machine. © 2019 Revista General de Derecho Administrativo. All rights reserved.","Artificial intelligence; Automated decision-making; Big data; Profiling; Right to explanation",,"Ortigosa, A.P.; Universidad de ValenciaSpain; email: adrian.palma@uv.es",,"Iustel",16969650,,,,"Spanish","Rev. Gen. Derecho Adm.",Article,"Final","",Scopus,2-s2.0-85069878401
"Adiego J.A.L., Grau J.M., Jubany O.","57211063433;57194444318;36844160800;","Geographies of sexual and gender diversity beyond the big city: Experiences, discourses and practices in two mid-sized cities of Catalonia [Geografies de la diversitat sexogenèrica més enllà de la gran ciutat: Experiències, discursos i pràctiques en dues ciutats mitjanes de Catalunya] [Géographies de la diversité sexuelle et de genre en dehors des grandes villes: Expériences, discours et pratiques dans deux villes moyennes de la Catalogne] [Geografías de la diversidad sexogenérica más allá de la gran ciudad: experiencias, discursos y prácticas en dos ciudades medianas de Cataluña]",2019,"Documents d'Analisi Geografica","65","3",,"473","492",,,"10.5565/rev/dag.572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075191888&doi=10.5565%2frev%2fdag.572&partnerID=40&md5=8e80a101f5b7c1e8809d0cec9127676a","Universitat de Girona, Germany; Universitat de Barcelona, Germany","Adiego, J.A.L., Universitat de Girona, Germany; Grau, J.M., Universitat de Barcelona, Germany; Jubany, O., Universitat de Barcelona, Germany","The big city has been presented in the media and some academic research as the ideal space for LGBT people. Indeed, the big city is conceived as the only livable and experimental place for sexual and gender diversity, thus monopolizing the meanings of gender-generic diversity. Grounded in a study of two mid-sized cities (Girona and Sabadell) that focused on the experiences, discourses, representations and practices of LGTB people living outside the big city (Barcelona), and using qualitative data gathered in-depth interviews, discussion groups and participant observation, this paper analyzes and discusses two fundamental issues. Firstly, the links, relationships and influences between mid-sized cities and the big city in terms of sexual and gender diversity; and secondly, the construction of alterities through the relationship between the centers and urban peripheries of these two cities. © 2019, Universitat Autonoma de Barcelona and Universitat de Girona. All rights reserved.","Ethnography; LGBT studies; LGBTphobia; Mid-sized cities; Urban space","ethnography; gender disparity; homosexuality; sexual behavior; urban area; Catalonia; Spain",,,"Universitat Autonoma de Barcelona and Universitat de Girona",02121573,,,,"Spanish","Doc. Anal. Geogr.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85075191888
"Medina-Ojeda N., Martín-Santana J.D., Medina-Muñoz D.R.","57214223870;20434158000;6603333545;","Tourist personality of the tourist as segmentation criteria for sun and beaches destinations: An application to the destination gran Canaria [La personalidad del turista como criterio de segmentación de destinos de sol y playa: Una aplicación al destino gran canaria]",2019,"Cuadernos de Turismo",,"44",,"247","275",,,"10.6018/turismo.44.404831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078493893&doi=10.6018%2fturismo.44.404831&partnerID=40&md5=a3b55ca107a43e6538c781664a27f2cb","Facultad de Economía, Empresa y Turismo, Universidad de Las Palmas de Gran Canaria, Campus Universitario de Tafira, Las Palmas de Gran Canaria, 35017, Spain","Medina-Ojeda, N., Facultad de Economía, Empresa y Turismo, Universidad de Las Palmas de Gran Canaria, Campus Universitario de Tafira, Las Palmas de Gran Canaria, 35017, Spain; Martín-Santana, J.D., Facultad de Economía, Empresa y Turismo, Universidad de Las Palmas de Gran Canaria, Campus Universitario de Tafira, Las Palmas de Gran Canaria, 35017, Spain; Medina-Muñoz, D.R., Facultad de Economía, Empresa y Turismo, Universidad de Las Palmas de Gran Canaria, Campus Universitario de Tafira, Las Palmas de Gran Canaria, 35017, Spain","The purpose of this study is to examine the influence of socio-demographic characteristics on tourist personality in order to be used as segmentation criteria for sun and beaches tourists. The method used to measure personality is the “Big 5” and the personality trait referred to as sensation seeking. A sample of 450 tourists was carried out on Gran Canaria (Spain). According to the results, socio-demographic characteristics influence on tourist personality traits, and therefore they could be of interest as a tourist market segmentation criteria. © 2019 Universidad de Murcia. All rights reserved.","Big five; Sensation seeking; Sociodemographic data; Tourist´s personality",,,,"Universidad de Murcia",11397861,,,,"Spanish","Cuad. Tur.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85078493893
"Tébar Cuesta F.","57209022847;","Education inspection looking at the future [La inspección de educación mirando al futuro]",2019,"Revista de Educacion","2019","384",,"123","146",,,"10.4438/1988-592X-RE-2019-384-405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066311563&doi=10.4438%2f1988-592X-RE-2019-384-405&partnerID=40&md5=5e8fb92f66244eaa6855a8ce65ccb1c7","Inspección de Trabajo, Calle Isaac Peral, 23, Madrid, 28040, Spain","Tébar Cuesta, F., Inspección de Trabajo, Calle Isaac Peral, 23, Madrid, 28040, Spain","This essay starts with some historical brushstrokes about the Education Inspection with the intention of bringing the reader up to the present. We will give reasons for its existence and its vitality in the educational system. This does not stop us from acknowledging the challenges it faces, especially in relation to the new technologies implied in its practice. We are at a crossroads in this service, since leaning towards one side or the other can make it disappear because it can be rendered unnecessary, or it can lead it to other functions different from the more traditional ones. Finally, we put forward three proposals, justifying them and suggesting solutions. Thus, we analyse the idea of changing the concept from teaching body to administrative body, seizing the opportunity that may arise in the new Education Law after an Education Pact is passed. As a consequence of the irruption of the new technologies, we propose a change in the Education Administration that will adapt the structures to the new times. Lastly, we advocate early training of inspectors similar to that offered to French ENA civil servants: one-year training after which they would join their positions with the qualifications adequate for a high Administrative body, which is what corresponds to the Education Inspection. © 2019, Ministry Education and Science. All rights reserved.","Administrative department; Big data; Digitization; Education; Educational inspection; Initial training; New technologies",,"Tébar Cuesta, F.; Inspección de Trabajo, Calle Isaac Peral, 23, Spain; email: fernando.tebar@madrid.org",,"Ministry Education and Science",00348082,,,,"Spanish","Revista Educ.",Article,"Final","",Scopus,2-s2.0-85066311563
"Tebé C., Pissolato L.","56192752000;57210474830;","Reflections on terminological methods in translation contexts: What is lost in the work with computing tools? [Reflexiones sobre la metodología terminológica en contextos de traducción: ¿qué se pierde en el trabajo con herramientas informáticas?]",2019,"Mutatis Mutandis","12","1",,"272","293",,,"10.27533/UDEA.MUT.V12N1A11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070802791&doi=10.27533%2fUDEA.MUT.V12N1A11&partnerID=40&md5=3c16d6ed3bf7bab2ce468de0873a2ffc","Pontificia Universidad Católica de Chile, Santiago de, Chile","Tebé, C., Pontificia Universidad Católica de Chile, Santiago de, Chile; Pissolato, L., Pontificia Universidad Católica de Chile, Santiago de, Chile","The methodological principles of terminology work from a linguistic and textual point of view are well established since the last two decades. There is not a unique methodological approach in the field of terminology, since what we call in this paper terminological scenarios can lead to different methodological pathways and stages –e.g. a compilation of neologisms found in newspapers, the compilation of a glossary for translation purposes, or a standardized glossary in a technical environment. The diversity of terminological scenarios also points to a variety of tools that are available for the terminologist: database management systems, text alignment tools, concordance programs, assisted and automatic translation tools, terminology detection systems, definition extraction systems, etc. A terminologist facing any given scenario must choose the appropriate set of tools. In this article, we pose a series of methodological questions about terminology work: although computing tools allow the researcher to deal with big data volumes, being more consistent, and allow him/her to validate hypothesis in a more objectively way, what other important things are left behind when is the tool, and not the researcher, who extracts evidences and presents results? We will answer to the following questions: in this process, are relevant data left behind? In which stages, specifically? Which type of data are lost and what impact do they have on the research goals? Besides data, which other aspects of the methodology can be affected? Since this research is done in a translation context, in the conclusions we will project the consequences of these reflections on the teaching-learning of terminology in translation programs. © 2019 Universidad de Antioquia. All rights reserved.","Corpus linguistics applied to translation studies; Terminological methods; Terminological scenarios; Terminotics; Translation assignment",,,,"Universidad de Antioquia",2011799X,,,,"Spanish","Mutatis Mutandis",Article,"Final","",Scopus,2-s2.0-85070802791
"Eyzaguirre L.B.","57216524338;","Ethics and transparency for detection of gender bias in algorithms [Ética y transparencia para la detección de sesgos algorítmicos de género]",2019,"Estudios Sobre el Mensaje Periodistico","25","3",,"1307","1320",,,"10.5209/esmp.66989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083767417&doi=10.5209%2fesmp.66989&partnerID=40&md5=78e7a585923d63b6f730a5c29ec6fcf3","Universidad de Cádiz, Spain","Eyzaguirre, L.B., Universidad de Cádiz, Spain","The algorithms' growing importance shows the discrimination registered, especially on gender and minority groups, besides the need of transparency in the application of these formulas against the corporations' opacity. Despite these biases, the making decision on almost all the knowledge fields, as well as the social, political and economic activities, leans on algorithms because of the blind trust in computer processing and the technological imaginary about their ability to eliminate the error and the bias. The Search Engine Manipulation Effect (SEME) (Epstein y Robertson, 2015) shows very clear effects on voting behavior. Caliskan y Bryson (2017) have also detected the reproduction of gender and ethnic biases when working on already biased data, which lead to a very important statistical deviations in Big. © 2019 Universidad Complutense de Madrid. All rights reserved.","Algorithms; Gender; Open knowledge; Transparency",,"Eyzaguirre, L.B.; Universidad de CádizSpain; email: lucia.benitez@uca.es",,"Universidad Complutense de Madrid",11341629,,,,"Spanish","Estud. Sobre Mensaje Periodistico",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85083767417
"Bolognesi B., Costa L.D., Codato A.","55835925300;35098293700;25960695100;","The Brazil’s pt: A workers party without workers [El pt de Brasil: Un partido de trabajadores sin trabajadores]",2019,"America Latina Hoy","82",,,"101","128",,,"10.14201/alh201982103130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073547522&doi=10.14201%2falh201982103130&partnerID=40&md5=647c07821a64a7b18ee8429d84b990df","Universidade Federal do Paraná, Brazil; Pontifícia Universidade Católica do Paraná, Brazil","Bolognesi, B., Universidade Federal do Paraná, Brazil; Costa, L.D., Pontifícia Universidade Católica do Paraná, Brazil; Codato, A., Universidade Federal do Paraná, Brazil","The regular growth of effective number of parties has been a major issue to the proper working of Brazilian political system. Still, little has been said regarding how the competitive interaction among political parties has an effect on the social composition of its candidates and elected. Trying to stablish relation between party strength, social composition and party system fragmentation, we put our efforts on checking how system fragmentation undermine strong parties in giving room for socially less competitive candidacies. In our hypothesis, we affirm: as higher the party organizational strength, bigger is the capacity of electing an outsider social group into representative arena, such as workers. Data points out that Brazilian Workers Party (pt) is the most organizationally structured party. However, through five consecutive elections, pt loses capacity to put in place organizational strength in favor of workers, diminishing its capacity to push forward blue- and white-collar workers into institutional polity. We show of that part of the loss is due to the increasing party system fragmentation from 1998 to 2014. © 2019, Ediciones Universidad de Salamanca. All rights reserved.","Brazilian; Brazil’s workers party (PT); Organizational structure; Political recruitment; Social profile",,,,"Ediciones Universidad de Salamanca",11302887,,,,"Spanish","Am. Lat. Hoy",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85073547522
